"plasmid_ID","size_plasmid","Number_of_contigs","size_overlap","Overlapping_portion(%)"
"NZ_LLBE01000024",4044,9,2386,61
"NZ_LLBE01000024",3135,1,110,4
"NZ_LLBE01000024",21131,4,11160,53
"NZ_LLBE01000024",5616,1,5616,100
"NZ_LLBE01000024",2399,1,2256,94
"NZ_LLBE01000024",4041,5,689,17
"NZ_LLBE01000024",19613,15,7184,37
"NZ_LLBE01000024",7490,2,5936,79
"NZ_LLBE01000024",3678,5,1962,53
"NZ_LLBE01000024",3190,1,3190,100
