"plasmid","contig","Number of matching contigs","Number of matching plasmid","V1","V2","V3","V4"
"SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000031 contig_1","1","1","SRR6347334-NZ_LLBE01000031","-","-","-"
"SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000031 contig_10","1","1","SRR6347334-NZ_LLBE01000031","-","-","-"
"SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000031 contig_11","1","1","SRR6347334-NZ_LLBE01000031","-","-","-"
"SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000031 contig_12","4","3","SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000034","SRR6347334-NZ_LLBE01000049","-"
"SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000031 contig_2","3","2","SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000049","-","-"
"SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000031 contig_3","1","1","SRR6347334-NZ_LLBE01000031","-","-","-"
"SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000031 contig_4","1","1","SRR6347334-NZ_LLBE01000031","-","-","-"
"SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000031 contig_5","1","1","SRR6347334-NZ_LLBE01000031","-","-","-"
"SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000031 contig_6","1","1","SRR6347334-NZ_LLBE01000031","-","-","-"
"SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000031 contig_7","1","1","SRR6347334-NZ_LLBE01000031","-","-","-"
"SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000031 contig_8","1","1","SRR6347334-NZ_LLBE01000031","-","-","-"
"SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000031 contig_9","1","1","SRR6347334-NZ_LLBE01000031","-","-","-"
"SRR6347334-NZ_LLBE01000033","SRR6347334-NZ_LLBE01000033 contig_1","1","1","SRR6347334-NZ_LLBE01000033","-","-","-"
"SRR6347334-NZ_LLBE01000034","SRR6347334-NZ_LLBE01000034 contig_1","3","3","SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000034","SRR6347334-NZ_LLBE01000049","-"
"SRR6347334-NZ_LLBE01000034","SRR6347334-NZ_LLBE01000034 contig_2","1","1","SRR6347334-NZ_LLBE01000034","-","-","-"
"SRR6347334-NZ_LLBE01000034","SRR6347334-NZ_LLBE01000034 contig_3","1","1","SRR6347334-NZ_LLBE01000034","-","-","-"
"SRR6347334-NZ_LLBE01000034","SRR6347334-NZ_LLBE01000034 contig_4","3","3","SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000034","SRR6347334-NZ_LLBE01000049","-"
"SRR6347334-NZ_LLBE01000034","SRR6347334-NZ_LLBE01000034 contig_5","1","1","SRR6347334-NZ_LLBE01000034","-","-","-"
"SRR6347334-NZ_LLBE01000049","SRR6347334-NZ_LLBE01000049 contig_1","2","2","SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000049","-","-"
"SRR6347334-NZ_LLBE01000049","SRR6347334-NZ_LLBE01000049 contig_11","1","1","SRR6347334-NZ_LLBE01000049","-","-","-"
"SRR6347334-NZ_LLBE01000049","SRR6347334-NZ_LLBE01000049 contig_12","1","1","SRR6347334-NZ_LLBE01000049","-","-","-"
"SRR6347334-NZ_LLBE01000049","SRR6347334-NZ_LLBE01000049 contig_2","2","2","SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000049","-","-"
"SRR6347334-NZ_LLBE01000049","SRR6347334-NZ_LLBE01000049 contig_3","1","1","SRR6347334-NZ_LLBE01000049","-","-","-"
"SRR6347334-NZ_LLBE01000049","SRR6347334-NZ_LLBE01000049 contig_5","4","3","SRR6347334-NZ_LLBE01000031","SRR6347334-NZ_LLBE01000034","SRR6347334-NZ_LLBE01000049","-"
"SRR6347334-NZ_LLBE01000049","SRR6347334-NZ_LLBE01000049 contig_6","1","1","SRR6347334-NZ_LLBE01000049","-","-","-"
"SRR6347334-NZ_LLBE01000049","SRR6347334-NZ_LLBE01000049 contig_7","1","1","SRR6347334-NZ_LLBE01000049","-","-","-"
