"plasmid","qseqid","sseqid","pident","length_match","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","sgi","stitle","strand","locus","gene","product","ref_gene_size"
"SRR6347334-NZ_LLBE01000031","contig_1","CP015645.1",98.585,212,3,0,1,212,1077122,1077333,6.18e-103,375,0,"CP015645.1 Staphylococcus aureus strain 08-02119","plus","intergenic","-","-","-"
"SRR6347334-NZ_LLBE01000031","contig_1","CP012756.1",97.129,209,6,0,4,212,1428409,1428617,2.9e-96,353,0,"CP012756.1 S_aureus strain JS395","minus","intergenic","-","-","-"
"SRR6347334-NZ_LLBE01000031","contig_1","CP017684.1",90.952,210,17,2,1,210,701150,701357,1.39e-74,281,0,"CP017684.1 Staphylococcus aureus strain CFSAN007847 chromosome","minus","not_available","not_available","not_available","not_available"
"SRR6347334-NZ_LLBE01000031","contig_1","CP009554.1",90.952,210,17,2,1,210,702950,703157,1.39e-74,281,0,"CP009554.1 S_aureus strain FORC_001","minus","intergenic","-","-","-"
"SRR6347334-NZ_LLBE01000031","contig_1","BX571856.1",90.952,210,17,2,1,210,750118,750325,1.39e-74,281,0,"BX571856.1 S_aureus strain MRSA252","minus","intergenic","-","-","-"
"SRR6347334-NZ_LLBE01000031","contig_2","CP017684.1",99.738,382,0,1,1,382,700658,701038,0,699,0,"CP017684.1 Staphylococcus aureus strain CFSAN007847 chromosome","minus","not_available","not_available","not_available","not_available"
"SRR6347334-NZ_LLBE01000031","contig_2","CP009554.1",99.738,382,0,1,1,382,702458,702838,0,699,0,"CP009554.1 S_aureus strain FORC_001","minus","FORC1_0609","not_available","region/hypothetical protein","2886017/171"
"SRR6347334-NZ_LLBE01000031","contig_2","BX571856.1",99.738,382,0,1,1,382,749626,750006,0,699,0,"BX571856.1 S_aureus strain MRSA252","minus","SAR0713","not_available","region/putative replication protein (fragment)","2902619/186"
"SRR6347334-NZ_LLBE01000031","contig_2","CP015645.1",99.217,383,2,1,1,382,1077443,1077825,0,689,0,"CP015645.1 Staphylococcus aureus strain 08-02119","plus","A7P66_05565","not_available","region/hypothetical protein","2796894/234"
"SRR6347334-NZ_LLBE01000031","contig_2","CP012756.1",94.751,381,18,2,3,382,1427886,1428265,1.08e-167,592,0,"CP012756.1 S_aureus strain JS395","minus","ACH32_07390","not_available","region/protein rep","2846866/180"
"SRR6347334-NZ_LLBE01000031","contig_3","CP015645.1",100,180,0,0,1,180,1078858,1079037,3.12e-90,333,0,"CP015645.1 Staphylococcus aureus strain 08-02119","plus","intergenic","-","-","-"
"SRR6347334-NZ_LLBE01000031","contig_3","CP009554.1",99.444,180,1,0,1,180,701245,701424,1.45e-88,327,0,"CP009554.1 S_aureus strain FORC_001","minus","intergenic","-","-","-"
"SRR6347334-NZ_LLBE01000031","contig_3","BX571856.1",99.444,180,1,0,1,180,748390,748569,1.45e-88,327,0,"BX571856.1 S_aureus strain MRSA252","minus","SAR0710","not_available","region/hypothetical protein","2902619/117"
"SRR6347334-NZ_LLBE01000031","contig_3","CP017684.1",98.889,180,2,0,1,180,699445,699624,6.76e-87,322,0,"CP017684.1 Staphylococcus aureus strain CFSAN007847 chromosome","minus","not_available","not_available","not_available","not_available"
"SRR6347334-NZ_LLBE01000031","contig_4","CP015645.1",99.278,277,2,0,1,277,1079128,1079404,1.31e-140,501,0,"CP015645.1 Staphylococcus aureus strain 08-02119","plus","A7P66_05575","not_available","region/replication-associated protein","2796894/745"
"SRR6347334-NZ_LLBE01000031","contig_4","CP017684.1",100,222,0,0,56,277,699217,699438,2.28e-113,411,0,"CP017684.1 Staphylococcus aureus strain CFSAN007847 chromosome","minus","AB520_03360","not_available","chromosomal replication initiation protein DnaA/replication-associated protein","2857060/744"
