"","SRR6347334-NZ_LLBE01000031 contig_1","SRR6347334-NZ_LLBE01000031 contig_10","SRR6347334-NZ_LLBE01000031 contig_11","SRR6347334-NZ_LLBE01000031 contig_12","SRR6347334-NZ_LLBE01000031 contig_2","SRR6347334-NZ_LLBE01000031 contig_3","SRR6347334-NZ_LLBE01000031 contig_4","SRR6347334-NZ_LLBE01000031 contig_5","SRR6347334-NZ_LLBE01000031 contig_6","SRR6347334-NZ_LLBE01000031 contig_7","SRR6347334-NZ_LLBE01000031 contig_8","SRR6347334-NZ_LLBE01000031 contig_9","SRR6347334-NZ_LLBE01000033 contig_1","SRR6347334-NZ_LLBE01000034 contig_1","SRR6347334-NZ_LLBE01000034 contig_2","SRR6347334-NZ_LLBE01000034 contig_3","SRR6347334-NZ_LLBE01000034 contig_4","SRR6347334-NZ_LLBE01000034 contig_5","SRR6347334-NZ_LLBE01000049 contig_1","SRR6347334-NZ_LLBE01000049 contig_11","SRR6347334-NZ_LLBE01000049 contig_12","SRR6347334-NZ_LLBE01000049 contig_2","SRR6347334-NZ_LLBE01000049 contig_3","SRR6347334-NZ_LLBE01000049 contig_5","SRR6347334-NZ_LLBE01000049 contig_6","SRR6347334-NZ_LLBE01000049 contig_7"
"SRR6347334-NZ_LLBE01000031 contig_1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000031 contig_10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000031 contig_11",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000031 contig_12",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"SRR6347334-NZ_LLBE01000031 contig_2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"SRR6347334-NZ_LLBE01000031 contig_3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000031 contig_4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000031 contig_5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000031 contig_6",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000031 contig_7",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000031 contig_8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000031 contig_9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000033 contig_1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000034 contig_1",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"SRR6347334-NZ_LLBE01000034 contig_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000034 contig_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000034 contig_4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"SRR6347334-NZ_LLBE01000034 contig_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000049 contig_1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000049 contig_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SRR6347334-NZ_LLBE01000049 contig_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SRR6347334-NZ_LLBE01000049 contig_2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SRR6347334-NZ_LLBE01000049 contig_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SRR6347334-NZ_LLBE01000049 contig_5",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"SRR6347334-NZ_LLBE01000049 contig_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SRR6347334-NZ_LLBE01000049 contig_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
